駅名(漢字)	読み	頭文字	母音	県	会社	路線	廃駅	文字数
相生(兵庫)	あいおい	あ	AIOI	兵庫県	JR西日本	山陽本線		2
相老[群馬]	あいおい	あ	AIOI	群馬県	わたらせ渓谷鉄道			2
相生(岐阜)	あいおい	あ	AIOI	岐阜県	長良川鉄道			2
相生山	あいおいやま	あ	AIOIAA	愛知県	名古屋市営地下鉄	桜通線		3
相賀	あいが	あ	AIA	三重県	JR東海	紀勢本線		2
愛冠	あいかっぷ	あ	AIAU	北海道	北海道ちほく高原鉄道		D	2
秋鹿町	あいかまち	あ	AIAAI	島根県	一畑電鉄	北松江線		3
相川[大阪]	あいかわ	あ	AIAA	大阪府	阪急	京都本線		2
合川[秋田]	あいかわ	あ	AIAA	秋田県	秋田内陸縦貫鉄道			2
愛環梅坪	あいかんうめつぼ	あ	AIANUEUO	愛知県	愛知環状鉄道			4
愛甲石田	あいこういしだ	あ	AIOOIIA	神奈川県	小田急	小田原線		4
愛国	あいこく	あ	AIOU	北海道	国鉄	広尾線	D	2
愛山	あいざん	あ	AIAN	北海道	JR北海道	石北本線		2
愛大医学部南口	あいだいいがくぶみなみぐち	あ	AIAIIAUUIAIUI	愛媛県	伊予鉄道	横河原線		7
愛・地球博記念公園	あいちきゅうはくきねんこうえん	あ	AIIUUAUIENOOEN	愛知県	愛知高速交通	東部丘陵線		9
愛知大学前	あいちだいがくまえ	あ	AIIAIAUAE	愛知県	豊橋鉄道	渥美線		5
愛知御津	あいちみと	あ	AIIIO	愛知県	JR東海	東海道本線		4
会津荒海	あいづあらかい	あ	AIUAAAI	福島県	会津鉄道			4
会津大塩	あいづおおしお	あ	AIUOOIO	福島県	JR東日本	只見線		4
会津加納	あいづかのう	あ	AIUAOO	福島県	国鉄	日中線	D	4
会津蒲生	あいづがもう	あ	AIUAOO	福島県	JR東日本	只見線		4
会津川口	あいづかわぐち	あ	AIUAAUI	福島県	JR東日本	只見線		4
相月	あいづき	あ	AIUI	静岡県	JR東海	飯田線		2
会津高原尾瀬口	あいづこうげんおぜぐち	あ	AIUOOENOEUI	福島県	会津鉄道			7
会津越川	あいづこすがわ	あ	AIUOUAA	福島県	JR東日本	只見線		4
会津坂本	あいづさかもと	あ	AIUAAOO	福島県	JR東日本	只見線		4
会津山村道場	あいづさんそんどうじょう	あ	AIUANONOOOO	福島県	会津鉄道			6
会津塩沢	あいづしおざわ	あ	AIUIOAA	福島県	JR東日本	只見線		4
会津下郷	あいづしもごう	あ	AIUIOOO	福島県	会津鉄道			4
会津下館	あいづしもだて	あ	AIUIOAE	福島県	日本硫黄沼尻鉄道		D	4
会津高田	あいづたかだ	あ	AIUAAA	福島県	JR東日本	只見線		4
会津田島	あいづたじま	あ	AIUAIA	福島県	会津鉄道			4
会津豊川	あいづとよかわ	あ	AIUOOAA	福島県	JR東日本	磐越西線		4
会津中川	あいづなかがわ	あ	AIUAAAA	福島県	JR東日本	只見線		4
会津長野	あいづながの	あ	AIUAAO	福島県	会津鉄道			4
会津西方	あいづにしかた	あ	AIUIIAA	福島県	JR東日本	只見線		4
会津坂下	あいづばんげ	あ	AIUANE	福島県	JR東日本	只見線		4
会津樋ノ口	あいづひのくち	あ	AIUIOUI	福島県	日本硫黄沼尻鉄道		D	5
会津桧原	あいづひのはら	あ	AIUIOAA	福島県	JR東日本	只見線		4
会津本郷	あいづほんごう	あ	AIUONOO	福島県	JR東日本	只見線		4
逢妻	あいづま	あ	AIUA	愛知県	JR東海	東海道本線		2
会津水沼	あいづみずぬま	あ	AIUIUUA	福島県	JR東日本	只見線		4
会津宮下	あいづみやした	あ	AIUIAIA	福島県	JR東日本	只見線		4
会津村松	あいづむらまつ	あ	AIUUAAU	福島県	国鉄	日中線	D	4
会津柳津	あいづやないづ	あ	AIUAAIU	福島県	JR東日本	只見線		4
会津横田	あいづよこた	あ	AIUOOA	福島県	JR東日本	只見線		4
会津若松	あいづわかまつ	あ	AIUAAAU	福島県	JR東日本	磐越西線		4
藍那	あいな	あ	AIA	兵庫県	神鉄	粟生線		2
愛野(静岡)	あいの	あ	AIO	静岡県	JR東海	東海道本線		2
相野[兵庫]	あいの	あ	AIO	兵庫県	JR西日本	福知山線		2
愛野(長崎)	あいの	あ	AIO	長崎県	島原鉄道			2
相浦	あいのうら	あ	AIOUA	長崎県	松浦鉄道			2
相ノ木	あいのき	あ	AIOI	富山県	富山地鉄	本線		3
あいの里教育大	あいのさときょういくだい	あ	AIOAOOOIUAI	北海道	JR北海道	札沼線		7
あいの里公園	あいのさとこうえん	あ	AIOAOOOEN	北海道	JR北海道	札沼線		6
相内	あいのない	あ	AIOAI	北海道	JR北海道	石北本線		2
相野々	あいのの	あ	AIOO	秋田県	JR東日本	北上線		3
相原	あいはら	あ	AIAA	東京都	JR東日本	横浜線		2
愛別	あいべつ	あ	AIEU	北海道	JR北海道	石北本線		2
相見	あいみ	あ	AII	愛知県	JR東海	東海道本線		2
藍本[兵庫]	あいもと	あ	AIOO	兵庫県	JR西日本	福知山線		2
愛本[富山]	あいもと	あ	AIOO	富山県	富山地鉄	本線		2
姶良	あいら	あ	AIA	鹿児島県	JR九州	日豊本線		2
吾平[大隅線]	あいら	あ	AIA	鹿児島県	国鉄	大隅線	D	2
アイランド北口	あいらんどきたぐち	あ	AIANOIAUI	兵庫県	六甲ライナー			7
アイランドセンター	あいらんどせんたー	あ	AIANOENAA	兵庫県	六甲ライナー			9
粟生	あお	あ	AO	兵庫県	JR西日本	加古川線		2
青井	あおい	あ	AOI	東京都	つくばエクスプレス			2
青井岳	あおいだけ	あ	AOIAE	宮崎県	JR九州	日豊本線		3
粟生津	あおうづ	あ	AOOU	新潟県	JR東日本	越後線		3
青木(香川)	あおき	あ	AOI	香川県	琴平参宮電鉄	多度津線	D	2
青倉	あおくら	あ	AOUA	兵庫県	JR西日本	播但線		2
青笹	あおざさ	あ	AOAA	岩手県	JR東日本	釜石線		2
青島	あおしま	あ	AOIA	宮崎県	JR九州	日南線		2
青塚	あおつか	あ	AOUA	愛知県	名鉄	津島線		2
青砥	あおと	あ	AOO	東京都	京成	本線		2
青沼	あおぬま	あ	AOUA	長野県	JR東日本	小海線		2
青野ヶ原	あおのがはら	あ	AOOAAA	兵庫県	JR西日本	加古川線		4
青郷	あおのごう	あ	AOOOO	福井県	JR西日本	小浜線		2
青野山	あおのやま	あ	AOOAA	島根県	JR西日本	山口線		3
青葉	あおば	あ	AOA	北海道	JR北海道	室蘭本線		2
青葉台	あおばだい	あ	AOAAI	神奈川県	東急	田園都市線		3
あおば通	あおばどおり	あ	AOAOOI	宮城県	JR東日本	仙石線		4
青葉通一番町	あおばどおりいちばんちょう	あ	AOAOOIIIANOO	宮城県	仙台市営地下鉄	東西線		6
