宇佐美	うさみ	JR東日本	伊東線
大石	おおいし	阪神	本線
神農原	かのはら	上信電鉄	
小倉	こくら	JR九州	鹿児島本線
築地	つきじ	東京メトロ	日比谷線
加古川	かこがわ	JR西日本	山陽本線
梅田	うめだ	大阪市高速電気軌道	御堂筋線
潮来	いたこ	JR東日本	鹿島線
平群	へぐり	近鉄	生駒線
膳	ぜん	上毛電鉄	
波久礼	はぐれ	秩父鉄道	
八多喜	はたき	JR四国	予讃線
鶴里	つるさと	名古屋市営地下鉄	桜通線
伊上	いがみ	JR西日本	山陰本線
今津	いまづ	JR九州	日豊本線
市塙	いちはな	真岡鐵道	
陸奥柳田	むつやなぎた	JR東日本	五能線
床波	とこなみ	JR西日本	宇部線
阿下喜	あげき	三岐鉄道	北勢線
禾生	かせい	富士急行	
柘植	つげ	JR西日本	関西本線
出戸	でと	大阪市高速電気軌道	谷町線
尾盛	おもり	大井川鐵道	井川線
新鶴	にいつる	JR東日本	只見線
古山	ふるさん	JR北海道	室蘭本線
府中	こう	JR四国	徳島線
小幌	こぼろ	JR北海道	室蘭本線
足尾	あしお	わたらせ渓谷鉄道	
波田	はた	松本電鉄	
尻手	しって	JR東日本	南武線
生野	いくの	JR北海道	石北本線
比島	ひしま	えちぜん鉄道	勝山永平寺線
替佐	かえさ	JR東日本	飯山線
山家	やまが	JR西日本	山陰本線
青井	あおい	つくばエクスプレス	
福	ふく	阪神	なんば線
里	さと	松浦鉄道	
水田	みずた	琴電	長尾線
伊与喜	いよき	土佐くろしお鉄道	中村線
古間	ふるま	しなの鉄道	北しなの線
国府	こう	名鉄	名古屋本線
